                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                 1.6856,                 2.5786,                 1.7155,                0.30262,                0.17624,                0.13987,                0.07521,                 1.7648,                 2.5631,                 1.8377,              0.0060662,              0.0060662,              0.0060662
                     62,                 1.6887,                 2.5765,                 1.7135,                0.30619,                0.17222,                0.13911,                0.07461,                 1.7676,                 2.5613,                 1.8391,              0.0060007,              0.0060007,              0.0060007
                     63,                 1.6808,                 2.5764,                 1.7153,                0.30524,                0.17367,                0.13998,                0.07529,                 1.7651,                 2.5612,                 1.8358,              0.0059351,              0.0059351,              0.0059351
                     64,                 1.6903,                  2.572,                 1.7107,                0.29991,                0.17752,                0.14203,                0.07664,                  1.765,                  2.552,                 1.8355,              0.0058695,              0.0058695,              0.0058695
                     65,                 1.6793,                 2.5583,                 1.7093,                0.29656,                0.17705,                0.14266,                0.07726,                 1.7652,                 2.5492,                 1.8357,               0.005804,               0.005804,               0.005804
                     66,                 1.6843,                  2.548,                  1.712,                0.30029,                0.17853,                0.14255,                0.07753,                 1.7646,                 2.5433,                 1.8331,              0.0057384,              0.0057384,              0.0057384
                     67,                 1.6779,                 2.5537,                 1.7072,                0.29624,                0.18046,                0.14428,                0.07815,                  1.764,                 2.5389,                 1.8302,              0.0056728,              0.0056728,              0.0056728
                     68,                 1.6813,                 2.5444,                 1.7079,                0.29882,                0.18415,                0.14546,                0.07854,                 1.7615,                  2.536,                 1.8292,              0.0056073,              0.0056073,              0.0056073
                     69,                 1.6707,                 2.5306,                 1.6993,                  0.297,                0.18062,                0.14521,                0.07855,                 1.7596,                 2.5351,                 1.8282,              0.0055417,              0.0055417,              0.0055417
                     70,                 1.6734,                 2.5302,                 1.6989,                0.29591,                 0.1813,                 0.1456,                0.07888,                 1.7577,                 2.5382,                  1.828,              0.0054762,              0.0054762,              0.0054762
                     71,                  1.669,                  2.537,                 1.7033,                0.29461,                0.18164,                0.14676,                0.07969,                 1.7571,                 2.5286,                 1.8259,              0.0054106,              0.0054106,              0.0054106
                     72,                 1.6674,                 2.5312,                 1.7013,                0.29344,                0.18337,                 0.1472,                0.07984,                 1.7574,                 2.5269,                 1.8245,               0.005345,               0.005345,               0.005345
